query_id,image_path,condition,mask_ratio,random_repeat,clean_rank,perturbed_rank,clean_positive_sim,perturbed_positive_sim,clean_negative_sim,perturbed_negative_sim,clean_margin,perturbed_margin,margin_drop,positive_similarity_drop,descriptor_drift,rank_degradation,hit_at_1,hit_at_5,hit_at_10,failure_flip,mask_area_actual,mask_pixels,mask_attention_iou,seed,placement_seed,shift_y,shift_x,paired_eligible,legal_random_locations,exclusion_reason
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,clean,0.0,-1,1,1,0.41361624002456665,0.41361624002456665,0.3641756772994995,0.3641756772994995,0.04944056272506714,0.04944056272506714,0.0,0.0,0.0,0,1,1,1,0,0.0,0,0.0,2024,0,0,0,True,0,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,attention,0.1,-1,1,1,0.41361624002456665,0.34745994210243225,0.3641756772994995,0.3085795044898987,0.04944056272506714,0.03888043761253357,0.01056012511253357,0.0661562979221344,0.25530505180358887,0,1,1,1,0,0.10018903017044067,10388,1.0,2024,1414089152,0,0,True,25424,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.1,0,1,1,0.41361624002456665,0.4021037220954895,0.3641756772994995,0.35175302624702454,0.04944056272506714,0.050350695848464966,-0.0009101331233978271,0.011512517929077148,0.04814577102661133,0,1,1,1,0,0.10018903017044067,10388,0.0,2024,1414089152,-125,-36,True,25424,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.1,1,1,1,0.41361624002456665,0.35431578755378723,0.3641756772994995,0.32934561371803284,0.04944056272506714,0.024970173835754395,0.024470388889312744,0.05930045247077942,0.16394323110580444,0,1,1,1,0,0.10018903017044067,10388,0.14860681114551083,2024,1414089152,23,-80,True,25424,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.1,2,1,1,0.41361624002456665,0.3996366858482361,0.3641756772994995,0.3527321517467499,0.04944056272506714,0.046904534101486206,0.0025360286235809326,0.013979554176330566,0.03542506694793701,0,1,1,1,0,0.10018903017044067,10388,0.0,2024,1414089152,-125,-83,True,25424,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.1,3,1,1,0.41361624002456665,0.3326350748538971,0.3641756772994995,0.2916458249092102,0.04944056272506714,0.04098924994468689,0.008451312780380249,0.08098116517066956,0.2337322235107422,0,1,1,1,0,0.10018903017044067,10388,0.32838874680306906,2024,1414089152,-2,-52,True,25424,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.1,4,1,1,0.41361624002456665,0.33903199434280396,0.3641756772994995,0.31578943133354187,0.04944056272506714,0.023242563009262085,0.026197999715805054,0.0745842456817627,0.19628125429153442,0,1,1,1,0,0.10018903017044067,10388,0.3986804901036758,2024,1414089152,9,-30,True,25424,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,attention,0.15,-1,1,1,0.41361624002456665,0.2991415560245514,0.3641756772994995,0.2761727273464203,0.04944056272506714,0.022968828678131104,0.026471734046936035,0.11447468400001526,0.4211106300354004,0,1,1,1,0,0.14933836460113525,15484,1.0,2024,2305544423,0,0,True,2534,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.15,0,1,1,0.41361624002456665,0.32052990794181824,0.3641756772994995,0.2882504463195801,0.04944056272506714,0.03227946162223816,0.01716110110282898,0.09308633208274841,0.30838894844055176,0,1,1,1,0,0.14933836460113525,15484,0.37306021104903786,2024,2305544423,19,14,True,2534,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.15,1,1,1,0.41361624002456665,0.3898184299468994,0.3641756772994995,0.34039369225502014,0.04944056272506714,0.04942473769187927,1.582503318786621e-05,0.023797810077667236,0.2467213273048401,0,1,1,1,0,0.14933836460113525,15484,0.18542336548767416,2024,2305544423,-36,2,True,2534,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.15,2,1,1,0.41361624002456665,0.3091736137866974,0.3641756772994995,0.2915998101234436,0.04944056272506714,0.017573803663253784,0.031866759061813354,0.10444262623786926,0.32411879301071167,0,1,1,1,0,0.14933836460113525,15484,0.39319776858016914,2024,2305544423,18,12,True,2534,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.15,3,1,1,0.41361624002456665,0.31653887033462524,0.3641756772994995,0.2844308018684387,0.04944056272506714,0.03210806846618652,0.017332494258880615,0.0970773696899414,0.4008083939552307,0,1,1,1,0,0.14933836460113525,15484,0.5853383843554828,2024,2305544423,-10,5,True,2534,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.15,4,1,1,0.41361624002456665,0.32098856568336487,0.3641756772994995,0.2963925898075104,0.04944056272506714,0.024595975875854492,0.024844586849212646,0.09262767434120178,0.4114046096801758,0,1,1,1,0,0.14933836460113525,15484,0.556180904522613,2024,2305544423,-12,1,True,2534,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,attention,0.2,-1,1,1,0.41361624002456665,0.29958248138427734,0.3641756772994995,0.28693366050720215,0.04944056272506714,0.012648820877075195,0.03679174184799194,0.1140337586402893,0.46324706077575684,0,1,1,1,0,0.20037806034088135,20776,1.0,2024,811304753,0,0,True,2534,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.2,0,1,1,0.41361624002456665,0.3770981729030609,0.3641756772994995,0.3427393138408661,0.04944056272506714,0.034358859062194824,0.015081703662872314,0.03651806712150574,0.11955642700195312,0,1,1,1,0,0.20037806034088135,20776,0.03147651673120842,2024,811304753,-96,2,True,2534,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.2,1,1,1,0.41361624002456665,0.3787325620651245,0.3641756772994995,0.339608758687973,0.04944056272506714,0.03912380337715149,0.01031675934791565,0.03488367795944214,0.09438687562942505,0,1,1,1,0,0.20037806034088135,20776,0.017708001665482868,2024,811304753,-111,11,True,2534,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.2,2,1,1,0.41361624002456665,0.37696272134780884,0.3641756772994995,0.3389754295349121,0.04944056272506714,0.03798729181289673,0.01145327091217041,0.03665351867675781,0.12466144561767578,0,1,1,1,0,0.20037806034088135,20776,0.05472636815920398,2024,811304753,-84,14,True,2534,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.2,3,1,1,0.41361624002456665,0.3563995063304901,0.3641756772994995,0.310781866312027,0.04944056272506714,0.045617640018463135,0.003822922706604004,0.05721673369407654,0.28880178928375244,0,1,1,1,0,0.20037806034088135,20776,0.2623264574535954,2024,811304753,41,1,True,2534,
250,cph/query/images/22ojD2bKI3a_mledG5mgVA.jpg,random,0.2,4,1,1,0.41361624002456665,0.29294314980506897,0.3641756772994995,0.2620006501674652,0.04944056272506714,0.03094249963760376,0.01849806308746338,0.12067309021949768,0.4857739806175232,0,1,1,1,0,0.20037806034088135,20776,0.6993987975951904,2024,811304753,-5,7,True,2534,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,clean,0.0,-1,1,1,0.6456501483917236,0.6456501483917236,0.5475041270256042,0.5475041270256042,0.09814602136611938,0.09814602136611938,0.0,0.0,0.0,0,1,1,1,0,0.0,0,0.0,2024,0,0,0,True,0,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,attention,0.1,-1,1,1,0.6456501483917236,0.4393557906150818,0.5475041270256042,0.3704047203063965,0.09814602136611938,0.0689510703086853,0.029194951057434082,0.20629435777664185,0.3082770109176636,0,1,1,1,0,0.10018903017044067,10388,1.0,2024,2538202238,0,0,True,22274,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.1,0,1,1,0.6456501483917236,0.45301616191864014,0.5475041270256042,0.4036170244216919,0.09814602136611938,0.04939913749694824,0.04874688386917114,0.1926339864730835,0.3000481128692627,0,1,1,1,0,0.10018903017044067,10388,0.24280672369444278,2024,2538202238,33,-17,True,22274,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.1,1,1,1,0.6456501483917236,0.5536738038063049,0.5475041270256042,0.48210105299949646,0.09814602136611938,0.07157275080680847,0.026573270559310913,0.0919763445854187,0.1400488018989563,0,1,1,1,0,0.10018903017044067,10388,0.17008335210633024,2024,2538202238,-23,-41,True,22274,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.1,2,1,1,0.6456501483917236,0.6401268839836121,0.5475041270256042,0.5332151055335999,0.09814602136611938,0.10691177845001221,-0.008765757083892822,0.005523264408111572,0.021541833877563477,0,1,1,1,0,0.10018903017044067,10388,0.0,2024,2538202238,-108,-12,True,22274,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.1,3,1,1,0.6456501483917236,0.6138325333595276,0.5475041270256042,0.5503224730491638,0.09814602136611938,0.06351006031036377,0.034635961055755615,0.031817615032196045,0.08764594793319702,0,1,1,1,0,0.10018903017044067,10388,0.035899481451934584,2024,2538202238,67,-30,True,22274,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.1,4,1,1,0.6456501483917236,0.6378870010375977,0.5475041270256042,0.5356533527374268,0.09814602136611938,0.1022336483001709,-0.004087626934051514,0.0077631473541259766,0.015118002891540527,0,1,1,1,0,0.10018903017044067,10388,0.0,2024,2538202238,-108,-44,True,22274,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,attention,0.15,-1,1,1,0.6456501483917236,0.35023993253707886,0.5475041270256042,0.3236674964427948,0.09814602136611938,0.026572436094284058,0.07157358527183533,0.2954102158546448,0.4637412428855896,0,1,1,1,0,0.14933836460113525,15484,1.0,2024,2598875707,0,0,True,210,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.15,0,1,1,0.6456501483917236,0.5345625281333923,0.5475041270256042,0.4523468315601349,0.09814602136611938,0.08221569657325745,0.01593032479286194,0.1110876202583313,0.26336872577667236,0,1,1,1,0,0.14933836460113525,15484,0.11155778894472362,2024,2598875707,48,0,True,210,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.15,1,1,1,0.6456501483917236,0.5802112817764282,0.5475041270256042,0.4979669749736786,0.09814602136611938,0.08224430680274963,0.01590171456336975,0.06543886661529541,0.1244896650314331,0,1,1,1,0,0.14933836460113525,15484,0.050332383665717,2024,2598875707,-60,0,True,210,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.15,2,1,1,0.6456501483917236,0.5769569277763367,0.5475041270256042,0.4927328824996948,0.09814602136611938,0.08422404527664185,0.013921976089477539,0.06869322061538696,0.1477060317993164,0,1,1,1,0,0.14933836460113525,15484,0.09180651530108588,2024,2598875707,-51,0,True,210,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.15,3,1,1,0.6456501483917236,0.6242452263832092,0.5475041270256042,0.5307888984680176,0.09814602136611938,0.09345632791519165,0.004689693450927734,0.021404922008514404,0.053382277488708496,0,1,1,1,0,0.14933836460113525,15484,0.007285974499089253,2024,2598875707,-96,0,True,210,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.15,4,1,1,0.6456501483917236,0.4415711462497711,0.5475041270256042,0.382329523563385,0.09814602136611938,0.05924162268638611,0.038904398679733276,0.20407900214195251,0.30279427766799927,0,1,1,1,0,0.14933836460113525,15484,0.42159383033419023,2024,2598875707,-16,0,True,210,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,attention,0.2,-1,1,1,0.6456501483917236,0.3398562967777252,0.5475041270256042,0.314663290977478,0.09814602136611938,0.025193005800247192,0.07295301556587219,0.3057938516139984,0.5261552333831787,0,1,1,1,0,0.20037806034088135,20776,1.0,2024,3993651600,0,0,True,196,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.2,0,1,1,0.6456501483917236,0.6037977933883667,0.5475041270256042,0.5053451657295227,0.09814602136611938,0.098452627658844,-0.0003066062927246094,0.041852355003356934,0.07568591833114624,0,1,1,1,0,0.20037806034088135,20776,0.017135023989033583,2024,3993651600,-100,0,True,196,
190,cph/query/images/RmyLD6Y7F1GzmWsUX6UFtQ.jpg,random,0.2,1,1,1,0.6456501483917236,0.6194359064102173,0.5475041270256042,0.5172980427742004,0.09814602136611938,0.10213786363601685,-0.003991842269897461,0.026214241981506348,0.06420129537582397,0,1,1,1,0,0.20037806034088135,20776,0.0057607590647238225,2024,3993651600,-111,0,True,196,
