mask_ratio,n_queries_total,n_paired_queries,n_excluded_no_translation,condition,margin_drop,descriptor_drift,positive_similarity_drop,rank_degradation,failure_flip,hit_at_1,hit_at_5,hit_at_10,n_clean_correct,failure_flip_given_clean_correct,paired_margin_difference,paired_margin_ci_low,paired_margin_ci_high
0.1,100,100,0,clean,0.0,0.0,0.0,0.0,0.0,0.92,0.95,0.96,92,0.0,0.03781454424560069,0.028678570240736008,0.04679765237383545
0.1,100,100,0,random,0.02457470585405827,0.14403389585018156,0.04791667781770229,1.3060000000000003,0.034,0.89,0.948,0.9520000000000001,92,0.03695652173913044,0.03781454424560069,0.028678570240736008,0.04679765237383545
0.1,100,100,0,attention,0.06238925009965897,0.320869637131691,0.11476097509264946,5.04,0.08,0.87,0.95,0.95,92,0.08695652173913043,0.03781454424560069,0.028678570240736008,0.04679765237383545
0.15,100,100,0,clean,0.0,0.0,0.0,0.0,0.0,0.92,0.95,0.96,92,0.0,0.04700830355286599,0.0369768745727837,0.05789384652450681
0.15,100,100,0,random,0.03837499916553497,0.2076746693849564,0.07258594588935376,1.786,0.052000000000000005,0.8819999999999999,0.95,0.956,92,0.05652173913043478,0.04700830355286599,0.0369768745727837,0.05789384652450681
0.15,100,100,0,attention,0.08538330271840096,0.4114972549676895,0.15088959023356438,7.76,0.1,0.84,0.95,0.95,92,0.10869565217391304,0.04700830355286599,0.0369768745727837,0.05789384652450681
0.2,100,100,0,clean,0.0,0.0,0.0,0.0,0.0,0.92,0.95,0.96,92,0.0,0.0563048083037138,0.04466754262149335,0.06808253748230636
0.2,100,100,0,random,0.05506608258187771,0.2811326115131378,0.10072791692614555,6.426,0.05400000000000001,0.8839999999999999,0.9380000000000002,0.9480000000000001,92,0.058695652173913045,0.0563048083037138,0.04466754262149335,0.06808253748230636
0.2,100,100,0,attention,0.1113708908855915,0.49382051527500154,0.18884119033813476,10.31,0.16,0.79,0.89,0.93,92,0.17391304347826086,0.0563048083037138,0.04466754262149335,0.06808253748230636
