seed,strategy,n_total,n_paired,n_excluded,paired_fraction,mean_paired_difference,ci_low,ci_high,wilcoxon_p_raw,left_win_rate,rank_biserial,wilcoxon_p_holm,supported
0,attention,50,50,0,1.0,0.04333849012851715,0.030708811262249947,0.055832247091829754,4.338058901565941e-07,0.8,0.8211764705882353,8.676117803131882e-07,True
1,attention,50,50,0,1.0,0.0276599240899086,0.015746083334088327,0.040206810379028304,0.00011965517407476322,0.76,0.6250980392156863,0.00011965517407476322,True
0,fused,50,50,0,1.0,0.05134648096561432,0.03864986241459847,0.06372982132434843,3.645953287354106e-08,0.9,0.8949019607843137,7.291906574708212e-08,True
1,fused,50,50,0,1.0,0.04523812392354012,0.03249252629652619,0.058328350078314536,2.8863964852459415e-07,0.78,0.8337254901960784,2.8863964852459415e-07,True
