mask_ratio,n_queries_total,n_paired_queries,n_excluded_no_translation,condition,margin_drop,descriptor_drift,positive_similarity_drop,rank_degradation,failure_flip,hit_at_1,hit_at_5,hit_at_10,n_clean_correct,failure_flip_given_clean_correct,paired_margin_difference,paired_margin_ci_low,paired_margin_ci_high
0.1,500,500,0,clean,0.0,0.0,0.0,0.0,0.0,0.892,0.938,0.948,446,0.0,0.034581619751453394,0.030631770580112933,0.03866043062381446
0.1,500,500,0,random,0.019634450900554653,0.14076110515594484,0.046663822689186785,7.038,0.026000000000000002,0.8732000000000001,0.936,0.9468000000000001,446,0.02914798206278027,0.034581619751453394,0.030631770580112933,0.03866043062381446
0.1,500,500,0,attention,0.05421607065200806,0.32562874460220337,0.11731660930393263,17.176,0.088,0.82,0.914,0.932,446,0.09865470852017937,0.034581619751453394,0.030631770580112933,0.03866043062381446
0.15,500,500,0,clean,0.0,0.0,0.0,0.0,0.0,0.892,0.938,0.948,446,0.0,0.04049184639155865,0.03618377105616032,0.044861797356307506
0.15,500,500,0,random,0.031443613237142565,0.20890806405544282,0.07246505072610453,7.3912,0.0456,0.8563999999999999,0.928,0.942,446,0.051121076233183856,0.04049184639155865,0.03618377105616032,0.044861797356307506
0.15,500,500,0,attention,0.07193545962870121,0.4173923164606094,0.15375428022397683,28.666,0.112,0.794,0.9,0.918,446,0.12556053811659193,0.04049184639155865,0.03618377105616032,0.044861797356307506
0.2,500,500,0,clean,0.0,0.0,0.0,0.0,0.0,0.892,0.938,0.948,446,0.0,0.0450016313701868,0.040512404822260144,0.049622883782088754
0.2,500,500,0,random,0.046805565723776824,0.28752610685825347,0.10485075104543938,5.451199999999999,0.0648,0.844,0.922,0.9352,446,0.0726457399103139,0.0450016313701868,0.040512404822260144,0.049622883782088754
0.2,500,500,0,attention,0.09180719709396362,0.49770136320590974,0.190820696354378,37.896,0.158,0.754,0.864,0.894,446,0.17713004484304934,0.0450016313701868,0.040512404822260144,0.049622883782088754
