query_id,window_y,window_x,attention_score,margin_drop,positive_similarity_drop,descriptor_drift,rank_degradation,clean_hit_at_1,clean_rank,perturbed_rank,clean_margin,perturbed_margin,mask_tokens,mask_pixels
250,0,0,0.0002986270119436085,-0.0006257593631744385,-0.0006488263607025146,0.0004718303680419922,0,1,1,1,0.04944068193435669,0.05006644129753113,4,784
250,0,1,0.0003404798626434058,-8.663535118103027e-05,-0.00022214651107788086,0.0003730654716491699,0,1,1,1,0.04944068193435669,0.04952731728553772,4,784
250,0,2,0.00038557517109438777,0.0003561675548553467,0.00048547983169555664,0.0013002753257751465,0,1,1,1,0.04944068193435669,0.04908451437950134,4,784
250,0,3,0.0004247702891007066,6.496906280517578e-06,-0.00021725893020629883,0.0009114742279052734,0,1,1,1,0.04944068193435669,0.04943418502807617,4,784
250,0,4,0.0005511485505849123,0.0004175901412963867,9.375810623168945e-05,0.00029408931732177734,0,1,1,1,0.04944068193435669,0.0490230917930603,4,784
250,0,5,0.0005903709097765386,0.0005026459693908691,0.0005342960357666016,0.0003273487091064453,0,1,1,1,0.04944068193435669,0.04893803596496582,4,784
250,0,6,0.0005166169139556587,0.00046256184577941895,0.00029334425926208496,0.0003266334533691406,0,1,1,1,0.04944068193435669,0.04897812008857727,4,784
250,0,7,0.0005108732730150223,9.590387344360352e-05,0.000561058521270752,0.0008971095085144043,0,1,1,1,0.04944068193435669,0.049344778060913086,4,784
250,0,8,0.0004287422925699502,-0.000347137451171875,0.0006042420864105225,0.0011014938354492188,0,1,1,1,0.04944068193435669,0.049787819385528564,4,784
250,0,9,0.0003559727338142693,-0.0004705488681793213,0.0006849169731140137,0.0010502338409423828,0,1,1,1,0.04944068193435669,0.04991123080253601,4,784
250,0,10,0.000322565232636407,-0.0009968578815460205,0.0007917881011962891,0.0011216402053833008,0,1,1,1,0.04944068193435669,0.05043753981590271,4,784
250,0,11,0.0002870094613172114,-0.0013808608055114746,0.00016129016876220703,0.00023376941680908203,0,1,1,1,0.04944068193435669,0.050821542739868164,4,784
250,0,12,0.00035317824222147465,-0.0009589195251464844,0.0007483363151550293,0.0002466440200805664,0,1,1,1,0.04944068193435669,0.050399601459503174,4,784
250,0,13,0.0005260026082396507,0.0006166398525238037,0.002205103635787964,0.0006189942359924316,0,1,1,1,0.04944068193435669,0.048824042081832886,4,784
250,0,14,0.0007261887658387423,0.0004223287105560303,0.0021487772464752197,0.0004082918167114258,0,1,1,1,0.04944068193435669,0.04901835322380066,4,784
250,0,15,0.000719027011655271,2.485513687133789e-05,0.0006329119205474854,0.00044023990631103516,0,1,1,1,0.04944068193435669,0.04941582679748535,4,784
250,0,16,0.0007292968221008778,-0.00047475099563598633,-0.0011940598487854004,0.0013828277587890625,0,1,1,1,0.04944068193435669,0.049915432929992676,4,784
250,0,17,0.0008979625417850912,0.002064615488052368,0.0021759867668151855,0.0015368461608886719,0,1,1,1,0.04944068193435669,0.04737606644630432,4,784
250,0,18,0.0008379579521715641,0.002115488052368164,0.00037342309951782227,0.0017331242561340332,0,1,1,1,0.04944068193435669,0.047325193881988525,4,784
250,0,19,0.000812891055829823,-0.0019757449626922607,-0.002155393362045288,0.0016384720802307129,0,1,1,1,0.04944068193435669,0.05141642689704895,4,784
250,0,20,0.0007138587534427643,-0.0018606483936309814,-0.0034190118312835693,0.0028083324432373047,0,1,1,1,0.04944068193435669,0.05130133032798767,4,784
250,0,21,0.0005571528454311192,0.0002606213092803955,-0.002096712589263916,0.0022888779640197754,0,1,1,1,0.04944068193435669,0.049180060625076294,4,784
250,1,0,0.0003779497928917408,0.0012563765048980713,-0.001248866319656372,0.0005178451538085938,0,1,1,1,0.04944068193435669,0.04818430542945862,4,784
250,1,1,0.00042779158684425056,0.00039908289909362793,-0.00041857361793518066,0.0007616281509399414,0,1,1,1,0.04944068193435669,0.04904159903526306,4,784
