query_id,n_windows,spearman,spearman_defined,undefined_reason,tail_k,top_mean_damage,bottom_mean_damage,top_minus_bottom_damage,attention_max_window_y,attention_max_window_x,attention_max_ties,attention_max_damage,attention_max_damage_percentile,negative_damage_window_fraction,clean_hit_at_1,token_h,token_w,variant_forward_calls,max_variant_batch,min_variant_batch,clean_margin_delta_vs_source
250,484,0.1746794351927064,True,,48,0.0017355382442474365,-0.0003190276523431142,0.002054565896590551,13,9,1,-0.0001278519630432129,40.165631469979296,0.4256198347107438,1,23,23,16,32,4,1.1920928959241461e-07
190,484,0.2552671728255445,True,,48,0.00218320203324159,-0.001508273184299469,0.003691475217541059,12,10,1,0.007285773754119873,91.51138716356108,0.6136363636363636,1,23,23,16,32,4,-4.7683715811985827e-07
505,484,0.48432789654418756,True,,48,0.007442882284522057,4.693244894345601e-06,0.007438189039627711,14,10,1,0.013112396001815796,97.72256728778468,0.3347107438016529,1,23,23,16,32,4,-1.1920928952302567e-07
486,484,0.06294274735951413,True,,48,0.0033240808794895806,-0.000416006272037824,0.003740087151527405,15,8,1,0.010842472314834595,98.34368530020704,0.5929752066115702,1,23,23,16,32,4,-2.980232236687863e-08
72,484,0.11805073619180623,True,,48,0.006968275954325994,-0.00040694822867711383,0.007375224183003107,6,6,1,0.041499197483062744,99.79296066252589,0.6880165289256198,1,23,23,16,32,4,-5.9604644719879474e-08
222,484,-0.06768265351860152,True,,48,0.002857749660809835,-0.00013013618687788645,0.0029878858476877213,12,9,1,0.030175119638442993,99.79296066252589,0.5392561983471075,1,23,23,16,32,4,-1.490116118829654e-07
42,484,-0.031319017154965156,True,,48,-0.0006073092420895895,0.000877636174360911,-0.0014849454164505005,8,20,1,0.002011537551879883,80.74534161490683,0.5247933884297521,1,23,23,16,32,4,1.1920928963404798e-07
59,484,-0.062123337727428826,True,,48,-0.0018113491435845692,-0.00014690682291984558,-0.0016644423206647236,15,8,1,-0.018037259578704834,0.0,0.45041322314049587,1,23,23,16,32,4,2.980232238769531e-07
598,484,0.572372552267422,True,,48,0.01753579235325257,-8.183221022288004e-07,0.0175366106753548,10,13,1,0.04548424482345581,99.58592132505176,0.35330578512396693,1,23,23,16,32,4,1.4901161193847656e-07
136,484,0.34849340382937216,True,,48,0.010616210599740347,-0.0009812284260988235,0.01159743902583917,13,12,1,0.02067229151725769,98.55072463768116,0.44214876033057854,1,23,23,16,32,4,4.163336342344337e-17
686,484,0.42034580878963745,True,,48,0.014154039012889067,-0.00010000169277191162,0.014254040705660978,8,14,1,0.013815075159072876,93.16770186335404,0.45041322314049587,1,23,23,16,32,4,-2.6822090143374666e-07
567,484,0.15757807257026207,True,,48,0.0051626600325107574,0.001724420115351677,0.0034382399171590805,10,8,1,0.0008924603462219238,32.91925465838509,0.18801652892561985,1,23,23,16,32,4,3.27825546292404e-07
343,484,0.2407525810239636,True,,48,0.007727143665154775,0.0009076253821452459,0.006819518283009529,10,11,1,0.0019182860851287842,60.66252587991718,0.27479338842975204,1,23,23,16,32,4,-2.9802322387695312e-08
482,484,0.15790929671123646,True,,48,0.007694341863195102,0.0007218408087889353,0.006972501054406166,11,9,1,0.002292633056640625,77.01863354037268,0.3140495867768595,1,23,23,16,32,4,2.086162567138672e-07
689,484,0.3997453506112485,True,,48,0.007610660667220752,-0.001054219901561737,0.00866488056878249,8,8,1,0.003995299339294434,80.95238095238095,0.4524793388429752,1,23,23,16,32,4,2.0861625676937834e-07
129,484,0.06261263453136298,True,,48,0.0028560043623050055,0.0014376631006598473,0.0014183412616451583,16,10,1,0.002463042736053467,74.74120082815735,0.25826446280991733,1,23,23,16,32,4,-7.450580589984934e-08
334,484,0.27105618297543377,True,,48,0.004403200000524521,0.0013394920776287715,0.003063707922895749,11,10,1,0.001293271780014038,45.54865424430642,0.25413223140495866,1,23,23,16,32,4,5.960464477539063e-08
242,484,0.051596136230014224,True,,48,-0.00015856139361858368,0.00020230685671170553,-0.00036086825033028924,14,12,1,-0.0027889907360076904,10.144927536231885,0.3347107438016529,1,23,23,16,32,4,-1.7881393423900202e-07
211,484,0.36026968705271356,True,,48,0.004231536760926247,-0.0005339092264572779,0.004765445987383525,10,9,1,0.010030657052993774,96.68737060041408,0.6342975206611571,1,23,23,16,32,4,1.1920928955078125e-07
315,484,0.1925305542892323,True,,48,0.0028194536765416465,-0.0005626492202281952,0.0033821028967698417,0,14,1,0.015654325485229492,99.79296066252589,0.609504132231405,0,23,23,16,32,4,-5.066394806463315e-07
332,484,-0.06892224356060385,True,,48,-0.0033339286843935647,0.0007157586514949799,-0.004049687335888544,13,12,1,-0.020533084869384766,1.0351966873706004,0.4090909090909091,1,23,23,16,32,4,-5.9604644719879474e-08
544,484,0.24869095290838492,True,,48,0.012106738363703093,0.00017561639348665872,0.011931121970216434,15,14,1,0.026645153760910034,98.55072463768116,0.34710743801652894,1,23,23,16,32,4,1.7881393432617188e-07
43,484,0.24360293958109855,True,,48,0.007378935193022092,-0.000626077875494957,0.008005013068517048,12,13,1,0.003907322883605957,82.6086956521739,0.493801652892562,1,23,23,16,32,4,2.384185791015625e-07
36,484,-0.14331384328779892,True,,48,0.0031638058523337045,-0.00048121561606725055,0.003645021468400955,13,7,1,-0.005676925182342529,4.761904761904762,0.743801652892562,1,23,23,16,32,4,-2.384185790946236e-07
245,484,0.041803988766215244,True,,48,0.005007930099964142,-1.6380101442337036e-05,0.005024310201406479,13,3,1,0.025094419717788696,99.17184265010351,0.4896694214876033,1,23,23,16,32,4,-1.1920928955078125e-07
624,484,0.058382235506232075,True,,48,0.005828698476155599,0.0007846616208553314,0.005044036855300267,14,12,1,0.029286950826644897,100.0,0.34297520661157027,1,23,23,16,32,4,-8.940696710757479e-08
163,484,-0.03351343745223175,True,,48,-4.9105845391750336e-05,0.00012101295093695323,-0.00017011879632870358,11,10,1,0.002394556999206543,92.13250517598344,0.42355371900826444,0,23,23,16,32,4,8.940696707114559e-08
307,484,0.21362924594251756,True,,48,0.002760265643397967,-0.0006416480367382368,0.0034019136801362038,12,10,1,0.015777423977851868,98.55072463768116,0.5392561983471075,1,23,23,16,32,4,-5.960464477539063e-08
525,484,0.3903329120134743,True,,48,0.007827841366330782,-0.000177064910531044,0.008004906276861826,12,5,1,0.024495035409927368,99.17184265010351,0.4256198347107438,1,23,23,16,32,4,3.8743019104003906e-07
512,484,0.2196401780852292,True,,48,0.0005930395176013311,-0.0005532062302033106,0.0011462457478046417,14,11,1,0.0055359601974487305,87.78467908902691,0.5867768595041323,1,23,23,16,32,4,5.960464485865735e-08
720,484,0.09043852932040046,True,,48,-0.0006456443419059118,0.0005015706022580465,-0.0011472149441639583,10,13,1,-0.009541839361190796,2.691511387163561,0.4194214876033058,1,23,23,16,32,4,-2.9802322387695312e-08
437,484,0.4700203264401951,True,,48,0.017895504211386044,0.0010216124355793,0.016873891775806744,16,10,1,0.02351972460746765,97.30848861283644,0.2231404958677686,1,23,23,16,32,4,5.960464483090178e-08
258,484,-0.04546073705439664,True,,48,0.000125656525293986,0.0010720404485861461,-0.0009463839232921601,12,8,1,0.0030154287815093994,82.6086956521739,0.3512396694214876,1,23,23,16,32,4,-2.980232237728697e-08
249,484,0.05826761307125087,True,,48,0.0006610602140426636,-0.0008028298616409302,0.0014638900756835938,13,10,1,-0.0055658817291259766,9.316770186335404,0.6425619834710744,1,23,23,16,32,4,-1.1920928949006593e-07
476,484,-0.18682639230294174,True,,48,-0.002698310340444247,0.00027567024032274884,-0.0029739805807669955,9,11,1,-0.011023461818695068,2.070393374741201,0.5041322314049587,1,23,23,16,32,4,7.632783294297951e-17
18,484,-0.09693505479923224,True,,48,-0.001199399431546529,0.00033355938891569775,-0.0015329588204622269,8,8,1,-0.012450605630874634,1.0351966873706004,0.5020661157024794,1,23,23,16,32,4,-1.1920928953690346e-07
358,484,0.1657778148568184,True,,48,0.004773615238567193,-0.0011656815186142921,0.005939296757181485,12,15,1,0.01615387201309204,98.75776397515529,0.6570247933884298,1,23,23,16,32,4,4.470348358154297e-08
670,484,0.07135729431510297,True,,48,0.0028041253487269082,-0.0006294573346773783,0.0034335826834042864,10,13,1,0.007587254047393799,96.48033126293996,0.6983471074380165,1,23,23,16,32,4,-5.960464474763505e-08
210,484,0.23803812644406175,True,,48,0.003847037752469381,0.0006225810696681341,0.0032244566828012466,12,9,1,0.02271696925163269,99.58592132505176,0.24586776859504134,1,23,23,16,32,4,-8.940696716308594e-08
