n_queries,left_mean,right_mean,mean_paired_difference,median_paired_difference,ci_low,ci_high,paired_sd,cohen_dz,rank_biserial,wilcoxon_statistic,wilcoxon_p_raw,t_statistic,t_df,t_p_raw,left_win_rate,right_win_rate,tie_rate,bootstrap_resamples,bootstrap_seed,comparison,mask_ratio,mask_mode,baseline,n_excluded,attention_win_rate,random_win_rate,wilcoxon_p_holm,t_p_holm,p_adjustment_family
500,0.054216069504618616,0.016629475650191274,0.037586593854427336,0.0321317613124847,0.033375244035571815,0.04183051818199455,0.048578092888388505,0.7737354766228701,0.7405508982035928,16248.0,1.0986313718889281e-46,17.301251223319372,499,7.00440690663669e-53,0.782,0.218,0.0,20000,2024,attention_connected-minus-random_token,0.1,connected_topk,random_token,0,0.782,0.218,1.0986313718889281e-46,7.00440690663669e-53,"three primary ratios separately for each test; Wilcoxon primary, t sensitivity"
500,0.07193545882403848,0.027290422657132114,0.044645036166906356,0.039911238849163,0.04021039958789945,0.049141859295219185,0.05115816101773529,0.8726864937820772,0.8068023952095809,12099.0,4.4447752342832025e-55,19.51386323142672,499,1.9355510539166293e-63,0.802,0.198,0.0,20000,2024,attention_connected-minus-random_token,0.15,connected_topk,random_token,0,0.802,0.198,8.889550468566405e-55,3.8711021078332586e-63,"three primary ratios separately for each test; Wilcoxon primary, t sensitivity"
500,0.09180719664692875,0.040632041195034954,0.05117515545189381,0.04483078718185425,0.04645170213535428,0.05598341479733586,0.05487236198712023,0.9326216987689679,0.8526467065868264,9228.0,2.648085649431424e-61,20.854055157387446,499,6.379050901508331e-70,0.846,0.154,0.0,20000,2024,attention_connected-minus-random_token,0.2,connected_topk,random_token,0,0.846,0.154,7.944256948294272e-61,1.9137152704524991e-69,"three primary ratios separately for each test; Wilcoxon primary, t sensitivity"
