n_queries,left_mean,right_mean,mean_paired_difference,median_paired_difference,ci_low,ci_high,paired_sd,cohen_dz,rank_biserial,wilcoxon_statistic,wilcoxon_p_raw,t_statistic,t_df,t_p_raw,left_win_rate,right_win_rate,tie_rate,bootstrap_resamples,bootstrap_seed,comparison,mask_ratio,mask_mode,baseline,n_excluded,attention_win_rate,random_win_rate,interpretation,wilcoxon_p_holm,t_p_holm,p_adjustment_family
498,0.05319236630356931,0.017870437979219396,0.03532192832434991,0.03052225112915035,0.03124803095607154,0.03937770971025987,0.046106017391662764,0.7661023511160409,0.7400745265631665,16148.0,1.896195985426803e-46,17.096273879649672,497,7.080639650707942e-52,0.7831325301204819,0.21686746987951808,0.0,20000,2024,attention_raw_topk-minus-own-random_token,0.1,raw_topk,random_token,2,0.7831325301204819,0.21686746987951808,,7.584783941707212e-46,2.8322558602831766e-51,six secondary contrasts separately for each test; exploratory
500,0.05302141623198983,0.054216069504618616,-0.001194653272628788,-3.848969936369809e-05,-0.0028147229120135324,0.000454241494834421,0.018727987606018643,-0.06378972998918797,-0.08634412973754348,50564.0,0.10480961207284466,-1.4263817252218123,499,0.15438351629199992,0.44,0.5,0.06,20000,2024,attention_raw_topk-minus-attention_connected,0.1,,,0,,,no stable difference detected,0.31442883621853396,0.3354605634952571,six secondary contrasts separately for each test; exploratory
498,0.07249020616033945,0.028347671115733504,0.044142535044605954,0.039649848639965,0.0398802604625024,0.048433844632502776,0.04880683227483195,0.9044335185704888,0.8276553106212425,10707.0,1.209663957091293e-57,20.183260261361884,497,1.3150124784817512e-66,0.8273092369477911,0.17269076305220885,0.0,20000,2024,attention_raw_topk-minus-own-random_token,0.15,raw_topk,random_token,2,0.8273092369477911,0.17269076305220885,,6.048319785456465e-57,6.575062392408755e-66,six secondary contrasts separately for each test; exploratory
500,0.07224719597399232,0.07193545882403848,0.0003117371499538429,0.0,-0.0010910716559737897,0.0016990908827632582,0.01597091515268056,0.019519053665595417,0.0252361673414305,50561.0,0.6408989156579319,0.436459308527378,499,0.6626922971646481,0.472,0.438,0.09,20000,2024,attention_raw_topk-minus-attention_connected,0.15,,,0,,,no stable difference detected,0.6408989156579319,0.6626922971646481,six secondary contrasts separately for each test; exploratory
497,0.09132065132290301,0.043051098475993484,0.04826955284690953,0.0416182070970534,0.043794428052331955,0.05275554732050394,0.051220353534995294,0.9423900757328884,0.8619831438429776,8540.0,3.0038292840137685e-62,21.00917014675734,496,1.4465096390180225e-70,0.8651911468812877,0.13480885311871227,0.0,20000,2024,attention_raw_topk-minus-own-random_token,0.2,raw_topk,random_token,3,0.8651911468812877,0.13480885311871227,,1.802297570408261e-61,8.679057834108134e-70,six secondary contrasts separately for each test; exploratory
500,0.09073430506885048,0.09180719664692875,-0.00107289157807827,0.0,-0.0023942615643143626,0.00025727154426276414,0.015061131894521892,-0.07123578663224557,-0.06793799410232579,40616.0,0.22929188606949524,-1.5928806134037192,499,0.11182018783175238,0.43,0.404,0.166,20000,2024,attention_raw_topk-minus-attention_connected,0.2,,,0,,,no stable difference detected,0.4585837721389905,0.3354605634952571,six secondary contrasts separately for each test; exploratory
