n_queries,left_mean,right_mean,mean_paired_difference,median_paired_difference,ci_low,ci_high,paired_sd,cohen_dz,rank_biserial,wilcoxon_statistic,wilcoxon_p_raw,t_statistic,t_df,t_p_raw,left_win_rate,right_win_rate,tie_rate,bootstrap_resamples,bootstrap_seed,comparison,mask_ratio,n_excluded,interpretation
500,0.016629475650191274,0.019634448900818793,-0.0030049732506275168,-0.0016525149345397998,-0.004754233376011252,-0.0012874872047454178,0.019639079885899958,-0.15300987969324176,-0.16878243512974053,52055.0,0.0010751327538500906,-3.421404922231533,499,0.0006741301066707645,0.456,0.544,0.0,20000,2024,connected_topk:random_token-minus-random_pixel,0.1,0,negative difference detected
498,0.017870437979219396,0.0218605945477763,-0.003990156568556905,-0.0026155710220336498,-0.00567306926601144,-0.0023090301276779395,0.01897218718598667,-0.2103161079658825,-0.24591351377453702,46848.0,1.985016110386439e-06,-4.693396094984796,497,3.47942027592467e-06,0.42771084337349397,0.572289156626506,0.0,20000,2024,raw_topk:random_token-minus-random_pixel,0.1,2,negative difference detected
500,0.027290422657132114,0.03144361118972298,-0.004153188532590866,-0.0034980505704880005,-0.006145402282029389,-0.0021267730768770024,0.02297866851620622,-0.18074104379293068,-0.20439121756487025,49825.0,7.495119217057676e-05,-4.041492602452594,499,6.149709527251406e-05,0.432,0.568,0.0,20000,2024,connected_topk:random_token-minus-random_pixel,0.15,0,negative difference detected
498,0.028347671115733504,0.03477700400543976,-0.006429332889706256,-0.004603055119514401,-0.008358875563944204,-0.00452568681342116,0.02216877179324619,-0.2900175503482326,-0.316705700557742,42450.0,9.138675383298508e-10,-6.472006597337092,497,2.3221213364123406e-10,0.39357429718875503,0.606425702811245,0.0,20000,2024,raw_topk:random_token-minus-random_pixel,0.15,2,negative difference detected
500,0.040632041195034954,0.0468055662155151,-0.0061735250204801575,-0.00477388948202135,-0.00848442565985024,-0.00387514599710703,0.02643290612932188,-0.23355453200175746,-0.2707864271457086,45667.0,1.5512082418247692e-07,-5.222438100090797,499,2.597295584156146e-07,0.406,0.594,0.0,20000,2024,connected_topk:random_token-minus-random_pixel,0.2,0,negative difference detected
497,0.043051098475993484,0.048102580676496115,-0.005051482200502627,-0.0026019334793089995,-0.007270289203320709,-0.0028569984572454285,0.025327189224456786,-0.19944898566259953,-0.21514629948364888,48564.0,3.2406722353575584e-05,-4.446415325548705,496,1.0783910782722673e-05,0.42052313883299797,0.579476861167002,0.0,20000,2024,raw_topk:random_token-minus-random_pixel,0.2,3,negative difference detected
