comparison,mask_ratio,n_paired_queries,left_margin_drop,right_margin_drop,left_descriptor_drift,right_descriptor_drift,left_positive_similarity_drop,right_positive_similarity_drop,left_rank_degradation,right_rank_degradation,left_failure_flip,right_failure_flip,left_hit_at_1,right_hit_at_1,left_hit_at_5,right_hit_at_5,left_hit_at_10,right_hit_at_10,margin_difference,ci_low,ci_high
attention_raw_topk-minus-attention_connected,0.1,100,0.06281845003366471,0.062389241605997084,0.321262566447258,0.3208696359395981,0.10930715560913086,0.1147609768807888,5.95,5.04,0.07,0.08,0.87,0.87,0.96,0.95,0.96,0.95,0.0004292084276676178,-0.003766135863959789,0.004683255240321157
attention_raw_topk-minus-attention_connected,0.15,100,0.0852803710103035,0.08538330726325512,0.4139628249406815,0.41149726033210754,0.14910611905157567,0.15088959723711015,7.82,7.76,0.12,0.1,0.83,0.84,0.95,0.95,0.95,0.95,-0.00010293625295162202,-0.0036457829400897025,0.003595804078504442
attention_raw_topk-minus-attention_connected,0.2,100,0.11101611763238907,0.11137089364230633,0.49341490745544436,0.49382050812244416,0.18747394390404223,0.18884118482470513,11.25,10.31,0.16,0.16,0.78,0.79,0.92,0.89,0.94,0.93,-0.00035477600991725924,-0.003741097327321768,0.0037167703229933945
connected_topk:random_token-minus-random_pixel,0.1,100,0.01982025620341301,0.024574704229831698,0.11651112985610963,0.14403388905525208,0.038396268844604495,0.04791667971014976,0.888,1.3060000000000003,0.036000000000000004,0.034,0.8919999999999999,0.89,0.9520000000000001,0.948,0.956,0.9520000000000001,-0.0047544480264186855,-0.008408973257988691,-0.0010588117524981506
connected_topk:random_token-minus-random_pixel,0.15,100,0.034656765133142475,0.03837499958276749,0.1811518952846527,0.2076746637821197,0.061813710719346986,0.0725859480649233,1.318,1.7860000000000003,0.022000000000000002,0.052000000000000005,0.9080000000000001,0.882,0.948,0.95,0.956,0.956,-0.003718234449625015,-0.007800005458295346,0.0006835952892899493
connected_topk:random_token-minus-random_pixel,0.2,100,0.04877491664886475,0.0550660855770111,0.24844152867794037,0.28113260173797605,0.08859678041934967,0.10072791777551174,3.7680000000000002,6.425999999999999,0.05200000000000001,0.054000000000000006,0.8779999999999998,0.884,0.9420000000000001,0.9380000000000002,0.9540000000000001,0.948,-0.0062911689281463625,-0.012513979924097657,-0.0003856538679450821
raw_topk:random_token-minus-random_pixel,0.1,99,0.020390489125492597,0.02609265186268874,0.1248093762783089,0.15067824366116767,0.039525578088230554,0.04849425576853029,0.3717171717171718,3.684848484848485,0.024242424242424246,0.02828282828282828,0.9111111111111113,0.9070707070707071,0.9616161616161616,0.9616161616161616,0.9636363636363637,0.9717171717171716,-0.005702162737196143,-0.009786369558988196,-0.0016160102967511562
raw_topk:random_token-minus-random_pixel,0.15,99,0.03418671946332912,0.04426399556675343,0.1863132164935873,0.23218505105586965,0.06128196135313824,0.0798787396213021,1.7373737373737375,2.2626262626262625,0.022222222222222223,0.05656565656565656,0.9191919191919192,0.8828282828282829,0.9595959595959596,0.9595959595959596,0.9656565656565655,0.9656565656565655,-0.010077276103424305,-0.015366339501783703,-0.004926537240319179
raw_topk:random_token-minus-random_pixel,0.2,99,0.053613019320699916,0.060448348732909774,0.2762453429626696,0.30047421021894977,0.09863055185838177,0.10919977786264033,4.725252525252526,5.010101010101011,0.04848484848484849,0.06262626262626261,0.8929292929292928,0.890909090909091,0.9434343434343435,0.9474747474747475,0.9535353535353536,0.9616161616161616,-0.006835329412209867,-0.013255956801350671,-0.0007942902191419803
