mask_ratio,n_queries_total,n_paired_queries,n_excluded_no_translation,condition,margin_drop,descriptor_drift,positive_similarity_drop,rank_degradation,failure_flip,hit_at_1,hit_at_5,hit_at_10,n_clean_correct,failure_flip_given_clean_correct,paired_margin_difference,paired_margin_ci_low,paired_margin_ci_high,mask_mode,baseline
0.1,100,100,0,clean,0.0,0.0,0.0,0.0,0.0,0.92,0.95,0.96,92,0.0,0.03781453737616539,0.02867855473421514,0.04679763599224389,connected_topk,random_pixel
0.1,100,100,0,random_pixel,0.02457470422983169,0.14403388905525208,0.04791667971014977,1.3060000000000003,0.034,0.89,0.948,0.9520000000000001,92,0.03695652173913044,0.03781453737616539,0.02867855473421514,0.04679763599224389,connected_topk,random_pixel
0.1,100,100,0,attention_connected,0.062389241605997084,0.3208696359395981,0.1147609768807888,5.04,0.08,0.87,0.95,0.95,92,0.08695652173913043,0.03781453737616539,0.02867855473421514,0.04679763599224389,connected_topk,random_pixel
0.15,100,100,0,clean,0.0,0.0,0.0,0.0,0.0,0.92,0.95,0.96,92,0.0,0.047008307680487624,0.036976875218749046,0.05789384521581232,connected_topk,random_pixel
0.15,100,100,0,random_pixel,0.03837499958276749,0.20767466378211974,0.0725859480649233,1.786,0.052000000000000005,0.8819999999999999,0.95,0.956,92,0.05652173913043478,0.047008307680487624,0.036976875218749046,0.05789384521581232,connected_topk,random_pixel
0.15,100,100,0,attention_connected,0.08538330726325512,0.41149726033210754,0.15088959723711015,7.76,0.1,0.84,0.95,0.95,92,0.10869565217391304,0.047008307680487624,0.036976875218749046,0.05789384521581232,connected_topk,random_pixel
0.2,100,100,0,clean,0.0,0.0,0.0,0.0,0.0,0.92,0.95,0.96,92,0.0,0.056304808065295225,0.04466754635199904,0.06808253409750759,connected_topk,random_pixel
0.2,100,100,0,random_pixel,0.0550660855770111,0.2811326017379761,0.10072791777551172,6.426,0.05400000000000001,0.8839999999999999,0.9380000000000002,0.9480000000000001,92,0.058695652173913045,0.056304808065295225,0.04466754635199904,0.06808253409750759,connected_topk,random_pixel
0.2,100,100,0,attention_connected,0.11137089364230633,0.49382050812244416,0.18884118482470513,10.31,0.16,0.79,0.89,0.93,92,0.17391304347826086,0.056304808065295225,0.04466754635199904,0.06808253409750759,connected_topk,random_pixel
0.1,100,100,0,clean,0.0,0.0,0.0,0.0,0.0,0.92,0.95,0.96,92,0.0,0.042568985402584074,0.03189997526817025,0.05296308667324483,connected_topk,random_token
