comparison,query_id,mask_ratio,left_margin_drop,right_margin_drop,left_descriptor_drift,right_descriptor_drift,left_positive_similarity_drop,right_positive_similarity_drop,left_rank_degradation,right_rank_degradation,left_failure_flip,right_failure_flip,left_hit_at_1,right_hit_at_1,left_hit_at_5,right_hit_at_5,left_hit_at_10,right_hit_at_10
attention_raw_topk-minus-attention_connected,275,0.1,0.06980714201927185,0.07206475734710693,0.3535269498825073,0.3562229871749878,0.08305624127388,0.11381390690803528,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,613,0.1,0.0015693306922912598,0.017447471618652344,0.26523590087890625,0.25554585456848145,0.05467209219932556,0.06438496708869934,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,509,0.1,-0.011298447847366333,-0.011298447847366333,0.30565333366394043,0.30565333366394043,0.06813076138496399,0.06813076138496399,-2,-2,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,37,0.1,0.048008471727371216,0.10302126407623291,0.23596006631851196,0.27099883556365967,-0.0019609928131103516,0.10096952319145203,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,514,0.1,0.06941527128219604,-0.008814305067062378,0.20459342002868652,0.2021283507347107,0.06905180215835571,-0.0027691125869750977,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,268,0.1,0.010882198810577393,0.018393278121948242,0.25846588611602783,0.27202796936035156,0.05216053128242493,0.06004256010055542,0,1,0,1,1,0,1,1,1,1
attention_raw_topk-minus-attention_connected,198,0.1,0.10469114780426025,0.10342520475387573,0.3695089817047119,0.37247949838638306,0.17540913820266724,0.1796613335609436,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,207,0.1,-0.017306029796600342,0.011324465274810791,0.246893048286438,0.29918038845062256,0.054788172245025635,0.0989459753036499,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,454,0.1,0.05150285363197327,0.0484776496887207,0.23740607500076294,0.23315680027008057,0.06831508874893188,0.07029902935028076,0,0,0,0,1,1,1,1,1,1
attention_raw_topk-minus-attention_connected,502,0.1,0.08633410930633545,0.08713787794113159,0.3035447597503662,0.31092941761016846,0.10540026426315308,0.10762929916381836,0,0,0,0,1,1,1,1,1,1
