query_id,mask_ratio,clean_rank,attention_margin_drop,random_margin_drop,attention_descriptor_drift,random_descriptor_drift,attention_positive_similarity_drop,random_positive_similarity_drop,attention_rank_degradation,random_rank_degradation,attention_failure_flip,random_failure_flip,attention_hit_at_1,random_hit_at_1,attention_hit_at_5,random_hit_at_5,attention_hit_at_10,random_hit_at_10,paired_margin_difference,mask_mode,baseline,attention_condition
250,0.1,1,0.01056012511253357,0.012149131298065186,0.25530505180358887,0.13550549745559692,0.06615626811981201,0.048071593046188354,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.0015890061855316166,connected_topk,random_pixel,attention_connected
190,0.1,1,0.02919498085975647,0.01942051649093628,0.3082769513130188,0.11288056373596192,0.20629432797431946,0.06594283580780029,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.00977446436882019,connected_topk,random_pixel,attention_connected
505,0.1,1,0.08517420291900635,0.0342093825340271,0.3450014591217041,0.11755306720733642,0.06186339259147644,0.05698786377906799,2,1.2,1,0.4,0,0.6,1,1.0,1,1.0,0.05096482038497925,connected_topk,random_pixel,attention_connected
486,0.1,1,0.019431710243225098,0.015060508251190185,0.36365407705307007,0.15196775197982787,0.014234185218811035,0.04024583101272583,0,0.2,0,0.2,1,0.8,1,1.0,1,1.0,0.0043712019920349125,connected_topk,random_pixel,attention_connected
72,0.1,1,0.0815829336643219,0.012238860130310059,0.2534712553024292,0.11519371271133423,0.09514456987380981,0.03842287063598633,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.06934407353401184,connected_topk,random_pixel,attention_connected
222,0.1,1,0.047704458236694336,0.015350657701492309,0.44710779190063477,0.111198890209198,0.07872304320335388,0.0345477044582367,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.032353800535202024,connected_topk,random_pixel,attention_connected
42,0.1,1,0.0220339298248291,0.0069327235221862795,0.157082200050354,0.06030299663543701,0.01725485920906067,0.005734097957611084,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.015101206302642823,connected_topk,random_pixel,attention_connected
59,0.1,1,0.017456382513046265,0.03445558547973633,0.2303904891014099,0.13346056938171386,0.1173890233039856,0.07955105304718017,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,-0.016999202966690066,connected_topk,random_pixel,attention_connected
598,0.1,1,0.12834671139717102,0.06308821141719818,0.3012579679489136,0.1812070369720459,0.14744162559509277,0.07014715075492858,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.06525849997997284,connected_topk,random_pixel,attention_connected
136,0.1,1,0.04677119851112366,0.02199023962020874,0.3070131540298462,0.184649658203125,0.09836411476135254,0.04852420687675476,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.024780958890914917,connected_topk,random_pixel,attention_connected
686,0.1,1,0.1864473819732666,0.06653251051902771,0.45715367794036865,0.1722094178199768,0.18624860048294067,0.07114660143852233,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.11991487145423889,connected_topk,random_pixel,attention_connected
567,0.1,1,0.028828978538513184,0.009502661228179932,0.29089856147766113,0.10330439805984497,0.1788022816181183,0.04969930648803711,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.01932631731033325,connected_topk,random_pixel,attention_connected
343,0.1,1,0.0779363214969635,0.02178882956504822,0.2320089340209961,0.0918845772743225,0.07984751462936401,0.037455761432647706,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.05614749193191528,connected_topk,random_pixel,attention_connected
482,0.1,1,0.04985952377319336,0.01866452693939209,0.3288164734840393,0.11859852075576782,0.12113738059997559,0.037191128730773924,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.03119499683380127,connected_topk,random_pixel,attention_connected
689,0.1,1,0.08701065182685852,0.021890753507614137,0.34424781799316406,0.09668749570846558,0.15920090675354004,0.04687488079071045,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.06511989831924439,connected_topk,random_pixel,attention_connected
129,0.1,1,0.030063942074775696,0.0013671547174453735,0.29198604822158813,0.21564748287200927,0.017656907439231873,-0.026297014951705933,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.028696787357330323,connected_topk,random_pixel,attention_connected
334,0.1,1,0.13843630254268646,0.02897140383720398,0.4236871004104614,0.14467248916625977,0.23960810899734497,0.06154168844223022,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.10946489870548248,connected_topk,random_pixel,attention_connected
242,0.1,1,-0.02032729983329773,-0.008824312686920166,0.3631914258003235,0.18514167070388793,0.1282179355621338,0.05785360932350159,0,0.2,0,0.2,1,0.8,1,1.0,1,1.0,-0.011502987146377564,connected_topk,random_pixel,attention_connected
211,0.1,1,0.0781269371509552,0.030772900581359862,0.33063626289367676,0.13757065534591675,0.11443924903869629,0.04612575769424439,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.04735403656959534,connected_topk,random_pixel,attention_connected
