seed,strategy,n_total,n_paired,n_excluded,paired_fraction,mean_paired_difference,ci_low,ci_high,wilcoxon_p_raw,left_win_rate,rank_biserial,wilcoxon_p_holm,supported
0,attention,50,50,0,1.0,0.04614337372779846,0.03325817055702209,0.058998126436769965,1.6329285453687908e-07,0.84,0.8509803921568627,3.2658570907375816e-07,True
1,attention,50,50,0,1.0,0.028093696057796477,0.01633156801611185,0.040237981124222263,0.00011057233752408534,0.74,0.6282352941176471,0.00011057233752408534,True
0,fused,50,50,0,1.0,0.05655946522951126,0.043248213288187974,0.06989549344927068,1.6775305690463507e-08,0.88,0.9168627450980392,3.3550611380927014e-08,True
1,fused,50,50,0,1.0,0.04629460686445236,0.03197980540841818,0.06106282335221767,1.422594945451938e-06,0.82,0.7835294117647059,1.422594945451938e-06,True
