seed,image_key,place_key,strategy,condition,random_repeat,shift_y,shift_x,paired_eligible,exclusion_reason,legal_random_locations,unique_random_placements,placement_seed,target_mask_tokens,mask_pixels,actual_area_fraction,clean_margin,perturbed_margin,clean_positive_sim,positive_sim,clean_negative_sim,negative_sim,clean_rank,perturbed_rank,margin_drop,descriptor_drift,positive_similarity_drop,rank_degradation,failure_flip,hit_at_1,hit_at_5,hit_at_10,applied_mask_pixels
0,Miami/Miami_0003418_2015_10_305_25.75781373645987_-80.25895705092262_8CBliO0XoMBZgkGQun9JUg.jpg,Miami:3418,fused,random,3,78,-10,True,,4858,5,5267898687906403286,38,7448,0.1484375,0.2919233441352844,0.27490994334220886,0.4804275333881378,0.4705827534198761,0.1885041743516922,0.19567281007766724,1,1,0.01701340079307556,0.06973302364349365,0.009844779968261719,0,0,1,1,1,7448
0,Miami/Miami_0003418_2015_10_305_25.75781373645987_-80.25895705092262_8CBliO0XoMBZgkGQun9JUg.jpg,Miami:3418,fused,random,4,-1,13,True,,4858,5,5267898687906403286,38,7448,0.1484375,0.2919233441352844,0.17551995813846588,0.4804275333881378,0.36777418851852417,0.1885041743516922,0.1922542303800583,1,1,0.11640338599681854,0.2406100630760193,0.11265334486961365,0,0,1,1,1,7448
0,Miami/Miami_0006062_2007_12_310_25.77859697555733_-80.2419719939299_1QEWQpGyD5wT6Z2uUWbJNQ.jpg,Miami:6062,attention,clean,-1,0,0,True,,154,5,1043758602200557746,38,7448,0.1484375,-0.007329165935516357,-0.007329165935516357,0.42422163486480713,0.42422163486480713,0.4315508008003235,0.4315508008003235,2,2,0.0,0.0,0.0,0,0,0,1,1,0
0,Miami/Miami_0006062_2007_12_310_25.77859697555733_-80.2419719939299_1QEWQpGyD5wT6Z2uUWbJNQ.jpg,Miami:6062,fused,clean,-1,0,0,True,,7028,5,8462294034360609936,38,7448,0.1484375,-0.007329165935516357,-0.007329165935516357,0.42422163486480713,0.42422163486480713,0.4315508008003235,0.4315508008003235,2,2,0.0,0.0,0.0,0,0,0,1,1,0
0,Miami/Miami_0006062_2007_12_310_25.77859697555733_-80.2419719939299_1QEWQpGyD5wT6Z2uUWbJNQ.jpg,Miami:6062,attention,targeted,-1,0,0,True,,154,5,1043758602200557746,38,7448,0.1484375,-0.007329165935516357,-0.0005008280277252197,0.42422163486480713,0.3492874205112457,0.4315508008003235,0.34978824853897095,2,2,-0.006828337907791138,0.1683797836303711,0.0749342143535614,0,0,0,1,1,7448
0,Miami/Miami_0006062_2007_12_310_25.77859697555733_-80.2419719939299_1QEWQpGyD5wT6Z2uUWbJNQ.jpg,Miami:6062,attention,random,0,-113,0,True,,154,5,1043758602200557746,38,7448,0.1484375,-0.007329165935516357,0.009965181350708008,0.42422163486480713,0.37958958745002747,0.4315508008003235,0.36962440609931946,2,1,-0.017294347286224365,0.19371533393859863,0.04463204741477966,-1,0,1,1,1,7448
0,Miami/Miami_0006062_2007_12_310_25.77859697555733_-80.2419719939299_1QEWQpGyD5wT6Z2uUWbJNQ.jpg,Miami:6062,attention,random,1,-125,0,True,,154,5,1043758602200557746,38,7448,0.1484375,-0.007329165935516357,0.031166166067123413,0.42422163486480713,0.41849184036254883,0.4315508008003235,0.3873256742954254,2,1,-0.03849533200263977,0.10027486085891724,0.005729794502258301,-1,0,1,1,1,7448
0,Miami/Miami_0006062_2007_12_310_25.77859697555733_-80.2419719939299_1QEWQpGyD5wT6Z2uUWbJNQ.jpg,Miami:6062,attention,random,2,-59,0,True,,154,5,1043758602200557746,38,7448,0.1484375,-0.007329165935516357,-0.01590999960899353,0.42422163486480713,0.3954099416732788,0.4315508008003235,0.41131994128227234,2,2,0.008580833673477173,0.17280197143554688,0.02881169319152832,0,0,0,1,1,7448
0,Miami/Miami_0006062_2007_12_310_25.77859697555733_-80.2419719939299_1QEWQpGyD5wT6Z2uUWbJNQ.jpg,Miami:6062,attention,random,3,-93,0,True,,154,5,1043758602200557746,38,7448,0.1484375,-0.007329165935516357,0.0021713078022003174,0.42422163486480713,0.40220820903778076,0.4315508008003235,0.40003690123558044,2,1,-0.009500473737716675,0.175919771194458,0.022013425827026367,-1,0,1,1,1,7448
0,Miami/Miami_0006062_2007_12_310_25.77859697555733_-80.2419719939299_1QEWQpGyD5wT6Z2uUWbJNQ.jpg,Miami:6062,attention,random,4,-78,0,True,,154,5,1043758602200557746,38,7448,0.1484375,-0.007329165935516357,-0.0013005733489990234,0.42422163486480713,0.4027637839317322,0.4315508008003235,0.4040643572807312,2,2,-0.006028592586517334,0.17199265956878662,0.02145785093307495,0,0,0,1,1,7448
