mask_ratio,n_queries_total,n_paired_queries,n_excluded_no_translation,condition,margin_drop,descriptor_drift,positive_similarity_drop,rank_degradation,failure_flip,hit_at_1,hit_at_5,hit_at_10,n_clean_correct,failure_flip_given_clean_correct,paired_margin_difference,paired_margin_ci_low,paired_margin_ci_high,mask_mode,baseline
0.1,500,500,0,clean,0.0,0.0,0.0,0.0,0.0,0.892,0.938,0.948,446,0.0,0.03458162060379982,0.03063177125513554,0.03866043879188597,connected_topk,random_pixel
0.1,500,500,0,random_pixel,0.019634448900818825,0.14076110508441922,0.04666382291386835,7.038,0.026000000000000002,0.8732000000000001,0.936,0.9468000000000001,446,0.02914798206278027,0.03458162060379982,0.03063177125513554,0.03866043879188597,connected_topk,random_pixel
0.1,500,500,0,attention_connected,0.054216069504618644,0.3256287441253662,0.1173166110846214,17.176,0.088,0.82,0.914,0.932,446,0.09865470852017937,0.03458162060379982,0.03063177125513554,0.03866043879188597,connected_topk,random_pixel
0.15,500,500,0,clean,0.0,0.0,0.0,0.0,0.0,0.892,0.938,0.948,446,0.0,0.04049184763431549,0.03618377446554601,0.04486179994754493,connected_topk,random_pixel
0.15,500,500,0,random_pixel,0.03144361118972301,0.20890806288719177,0.0724650489795953,7.3912,0.0456,0.8563999999999999,0.928,0.942,446,0.051121076233183856,0.04049184763431549,0.03618377446554601,0.04486179994754493,connected_topk,random_pixel
0.15,500,500,0,attention_connected,0.07193545882403851,0.4173923178911209,0.15375428080698475,28.666,0.112,0.794,0.9,0.918,446,0.12556053811659193,0.04049184763431549,0.03618377446554601,0.04486179994754493,connected_topk,random_pixel
0.2,500,500,0,clean,0.0,0.0,0.0,0.0,0.0,0.892,0.938,0.948,446,0.0,0.04500163043141365,0.040512402463108305,0.04962288453377783,connected_topk,random_pixel
0.2,500,500,0,random_pixel,0.04680556621551514,0.2875261054754258,0.10485075082136318,5.451199999999999,0.0648,0.844,0.922,0.9352,446,0.0726457399103139,0.04500163043141365,0.040512402463108305,0.04962288453377783,connected_topk,random_pixel
0.2,500,500,0,attention_connected,0.09180719664692878,0.49770136225223544,0.190820696065668,37.896,0.158,0.754,0.864,0.894,446,0.17713004484304934,0.04500163043141365,0.040512402463108305,0.04962288453377783,connected_topk,random_pixel
0.1,500,500,0,clean,0.0,0.0,0.0,0.0,0.0,0.892,0.938,0.948,446,0.0,0.037586593854427336,0.03343926308371127,0.041985411805734035,connected_topk,random_token
0.1,500,500,0,random_token,0.0166294756501913,0.11381761083602905,0.037458831403497615,1.606,0.024,0.8764,0.9364,0.9475999999999999,446,0.026905829596412557,0.037586593854427336,0.03343926308371127,0.041985411805734035,connected_topk,random_token
0.1,500,500,0,attention_connected,0.054216069504618644,0.3256287441253662,0.1173166110846214,17.176,0.088,0.82,0.914,0.932,446,0.09865470852017937,0.037586593854427336,0.03343926308371127,0.041985411805734035,connected_topk,random_token
0.15,500,500,0,clean,0.0,0.0,0.0,0.0,0.0,0.892,0.938,0.948,446,0.0,0.04464503616690635,0.040042933799400916,0.04907857426337897,connected_topk,random_token
0.15,500,500,0,random_token,0.027290422657132152,0.17821199412345884,0.062060005155019464,-0.9284000000000006,0.033600000000000005,0.868,0.9315999999999999,0.9444000000000001,446,0.03766816143497758,0.04464503616690635,0.040042933799400916,0.04907857426337897,connected_topk,random_token
0.15,500,500,0,attention_connected,0.07193545882403851,0.4173923178911209,0.15375428080698475,28.666,0.112,0.794,0.9,0.918,446,0.12556053811659193,0.04464503616690635,0.040042933799400916,0.04907857426337897,connected_topk,random_token
0.2,500,500,0,clean,0.0,0.0,0.0,0.0,0.0,0.892,0.938,0.948,446,0.0,0.05117515545189381,0.04615016209051013,0.05601329491741954,connected_topk,random_token
0.2,500,500,0,random_token,0.04063204119503498,0.25209087357521054,0.09080284119714051,2.4536000000000002,0.054799999999999995,0.8492000000000001,0.9244000000000001,0.9388,446,0.06143497757847534,0.05117515545189381,0.04615016209051013,0.05601329491741954,connected_topk,random_token
0.2,500,500,0,attention_connected,0.09180719664692878,0.49770136225223544,0.190820696065668,37.896,0.158,0.754,0.864,0.894,446,0.17713004484304934,0.05117515545189381,0.04615016209051013,0.05601329491741954,connected_topk,random_token
0.1,500,498,2,clean,0.0,0.0,0.0,0.0,0.0,0.893574297188755,0.9397590361445783,0.9497991967871486,445,0.0,0.031331771755793006,0.027390033119399266,0.03533590143164956,raw_topk,random_pixel
0.1,500,498,2,random_pixel,0.021860594547776335,0.149998854082751,0.04819156162601608,6.033734939759037,0.02931726907630522,0.8726907630522088,0.9329317269076306,0.9461847389558232,445,0.03280898876404494,0.031331771755793006,0.027390033119399266,0.03533590143164956,raw_topk,random_pixel
0.1,500,498,2,attention_raw_topk,0.05319236630356934,0.3280726631721818,0.11260936621634522,22.313253012048193,0.07630522088353414,0.8313253012048193,0.9196787148594378,0.9377510040160643,445,0.0853932584269663,0.031331771755793006,0.027390033119399266,0.03533590143164956,raw_topk,random_pixel
0.15,500,498,2,clean,0.0,0.0,0.0,0.0,0.0,0.893574297188755,0.9397590361445783,0.9497991967871486,445,0.0,0.03771320215489969,0.033580946681804086,0.04164346983476755,raw_topk,random_pixel
0.15,500,498,2,random_pixel,0.034777004005439795,0.2230094647072405,0.07739891733284142,13.969076305220884,0.045783132530120486,0.8602409638554216,0.9333333333333332,0.9425702811244979,445,0.051235955056179776,0.03771320215489969,0.033580946681804086,0.04164346983476755,raw_topk,random_pixel
0.15,500,498,2,attention_raw_topk,0.07249020616033948,0.41948538312471534,0.15148747650799846,29.082329317269075,0.11847389558232932,0.7891566265060241,0.8995983935742972,0.9176706827309237,445,0.13258426966292136,0.03771320215489969,0.033580946681804086,0.04164346983476755,raw_topk,random_pixel
0.2,500,497,3,clean,0.0,0.0,0.0,0.0,0.0,0.8953722334004024,0.9416498993963782,0.9517102615694165,445,0.0,0.043218070646406904,0.039026153396282875,0.04753386459727463,raw_topk,random_pixel
0.2,500,497,3,random_pixel,0.04810258067649615,0.2979424567769471,0.10582650399034173,9.847082494969818,0.06358148893360162,0.8466800804828974,0.9223340040241448,0.9392354124748491,445,0.07101123595505618,0.043218070646406904,0.039026153396282875,0.04753386459727463,raw_topk,random_pixel
0.2,500,497,3,attention_raw_topk,0.09132065132290305,0.49817088863979164,0.18850341909171514,37.7907444668008,0.1710261569416499,0.7404426559356136,0.8752515090543259,0.903420523138833,445,0.19101123595505617,0.043218070646406904,0.039026153396282875,0.04753386459727463,raw_topk,random_pixel
0.1,500,498,2,clean,0.0,0.0,0.0,0.0,0.0,0.893574297188755,0.9397590361445783,0.9497991967871486,445,0.0,0.03532192832434991,0.031340557358126686,0.03952993890442642,raw_topk,random_token
0.1,500,498,2,random_token,0.017870437979219427,0.12247966360375584,0.03923154022866285,4.196787148594377,0.022088353413654623,0.876706827309237,0.9357429718875502,0.9457831325301205,445,0.024719101123595506,0.03532192832434991,0.031340557358126686,0.03952993890442642,raw_topk,random_token
0.1,500,498,2,attention_raw_topk,0.05319236630356934,0.3280726631721818,0.11260936621634522,22.313253012048193,0.07630522088353414,0.8313253012048193,0.9196787148594378,0.9377510040160643,445,0.0853932584269663,0.03532192832434991,0.031340557358126686,0.03952993890442642,raw_topk,random_token
