comparison,mask_ratio,n_paired_queries,left_margin_drop,right_margin_drop,left_descriptor_drift,right_descriptor_drift,left_positive_similarity_drop,right_positive_similarity_drop,left_rank_degradation,right_rank_degradation,left_failure_flip,right_failure_flip,left_hit_at_1,right_hit_at_1,left_hit_at_5,right_hit_at_5,left_hit_at_10,right_hit_at_10,margin_difference,ci_low,ci_high
attention_raw_topk-minus-attention_connected,0.1,500,0.05302141623198986,0.054216069504618644,0.32724132800102235,0.3256287441253662,0.11201953047467396,0.1173166110846214,22.224,17.176,0.076,0.088,0.83,0.82,0.918,0.914,0.936,0.932,-0.001194653272628784,-0.0029342738341540096,0.0004474967863410706
attention_raw_topk-minus-attention_connected,0.15,500,0.07224719597399235,0.07193545882403851,0.418401016831398,0.4173923178911209,0.15072540481155738,0.15375428080698475,28.966,28.666,0.118,0.112,0.788,0.794,0.898,0.9,0.916,0.918,0.0003117371499538422,-0.0010705602996051312,0.0016777311943471428
attention_raw_topk-minus-attention_connected,0.2,500,0.09073430506885052,0.09180719664692878,0.49666322994232176,0.49770136225223544,0.18728052148921415,0.190820696065668,37.476,37.896,0.17,0.158,0.738,0.754,0.872,0.864,0.9,0.894,-0.00107289157807827,-0.0023798106305301186,0.00024788236878812243
connected_topk:random_token-minus-random_pixel,0.1,500,0.016629475650191305,0.019634448900818825,0.11381761083602905,0.14076110508441925,0.03745883140349761,0.04666382291386835,1.606,7.038,0.024,0.026,0.8764,0.8732,0.9364,0.936,0.9476,0.9468,-0.003004973250627518,-0.004735420649647712,-0.0012213398354500565
connected_topk:random_token-minus-random_pixel,0.15,500,0.02729042265713215,0.03144361118972301,0.17821199412345887,0.2089080628871918,0.062060005155019464,0.07246504897959531,-0.9284000000000014,7.3911999999999995,0.033600000000000005,0.0456,0.868,0.8564,0.9315999999999999,0.928,0.9444,0.942,-0.004153188532590866,-0.006013190366849303,-0.0021568590381741528
connected_topk:random_token-minus-random_pixel,0.2,500,0.04063204119503499,0.04680556621551514,0.2520908735752106,0.28752610547542573,0.09080284119714051,0.10485075082136318,2.4536,5.451200000000001,0.05480000000000001,0.06480000000000001,0.8492000000000001,0.844,0.9244,0.922,0.9388,0.9352,-0.006173525020480156,-0.008504986809492111,-0.003857386083528401
raw_topk:random_token-minus-random_pixel,0.1,498,0.01787043797921943,0.021860594547776335,0.12247966360375584,0.149998854082751,0.03923154022866284,0.04819156162601608,4.196787148594377,6.033734939759035,0.02208835341365462,0.029317269076305223,0.876706827309237,0.8726907630522088,0.9357429718875502,0.9329317269076306,0.9457831325301205,0.9461847389558233,-0.003990156568556905,-0.005674193917837248,-0.002386376984926113
raw_topk:random_token-minus-random_pixel,0.15,498,0.028347671115733532,0.03477700400543979,0.18817817573566512,0.22300946470724053,0.06305537380943875,0.07739891733284142,5.999598393574298,13.969076305220884,0.03694779116465864,0.045783132530120486,0.8678714859437752,0.8602409638554216,0.9317269076305221,0.9333333333333332,0.944578313253012,0.9425702811244979,-0.006429332889706256,-0.008381202230641403,-0.004510264985009011
raw_topk:random_token-minus-random_pixel,0.2,497,0.043051098475993525,0.04810258067649615,0.2668074866655607,0.2979424567769471,0.09512047856312734,0.10582650399034171,9.946478873239435,9.847082494969818,0.05714285714285714,0.06358148893360162,0.8482897384305835,0.8466800804828974,0.9243460764587524,0.9223340040241448,0.9432595573440644,0.9392354124748491,-0.0050514822005026305,-0.007255190977643073,-0.0028531260656519002
